a1;[ɑ];;[sound:a1_1.mp3] [ɑ] EOF [sound:a1_2.mp3] [ɑ] EOF [sound:a1_3.mp3] [ɑ] EOF [sound:a1_4.mp3] [ɑ] EOF [sound:a1_5.mp3] [ɑ] EOF [sound:a1_6.mp3] [ɑ] EOF [sound:a1_7.wav] [ɑ]
ai1;[aɪ̯];;[sound:ai1_1.mp3] [aɪ̯] EOF [sound:ai1_2.mp3] [aɪ̯] EOF [sound:ai1_3.mp3] [aɪ̯] EOF [sound:ai1_4.mp3] [aɪ̯] EOF [sound:ai1_5.mp3] [aɪ̯] EOF [sound:ai1_6.mp3] [aɪ̯] EOF [sound:ai1_7.wav] [aɪ̯]
ai2;[aɪ̯];;[sound:ai2_1.mp3] [aɪ̯] EOF [sound:ai2_2.mp3] [aɪ̯] EOF [sound:ai2_3.mp3] [aɪ̯] EOF [sound:ai2_4.mp3] [aɪ̯] EOF [sound:ai2_5.mp3] [aɪ̯] EOF [sound:ai2_6.mp3] [aɪ̯] EOF [sound:ai2_7.wav] [aɪ̯]
ai3;[aɪ̯];;[sound:ai3_1.mp3] [aɪ̯] EOF [sound:ai3_2.mp3] [aɪ̯] EOF [sound:ai3_3.mp3] [aɪ̯] EOF [sound:ai3_4.mp3] [aɪ̯] EOF [sound:ai3_5.mp3] [aɪ̯] EOF [sound:ai3_6.mp3] [aɪ̯] EOF [sound:ai3_7.wav] [aɪ̯]
ai4;[aɪ̯];;[sound:ai4_1.mp3] [aɪ̯] EOF [sound:ai4_2.mp3] [aɪ̯] EOF [sound:ai4_3.mp3] [aɪ̯] EOF [sound:ai4_4.mp3] [aɪ̯] EOF [sound:ai4_5.mp3] [aɪ̯] EOF [sound:ai4_6.mp3] [aɪ̯] EOF [sound:ai4_7.wav] [aɪ̯]
ao1;[ɑʊ̯];;[sound:ao1_1.mp3] [ɑʊ̯] EOF [sound:ao1_2.mp3] [ɑʊ̯] EOF [sound:ao1_3.mp3] [ɑʊ̯] EOF [sound:ao1_4.mp3] [ɑʊ̯] EOF [sound:ao1_5.mp3] [ɑʊ̯] EOF [sound:ao1_6.mp3] [ɑʊ̯] EOF [sound:ao1_7.wav] [ɑʊ̯]
ao2;[ɑʊ̯];;[sound:ao2_1.mp3] [ɑʊ̯] EOF [sound:ao2_2.mp3] [ɑʊ̯] EOF [sound:ao2_3.mp3] [ɑʊ̯] EOF [sound:ao2_4.mp3] [ɑʊ̯] EOF [sound:ao2_5.mp3] [ɑʊ̯] EOF [sound:ao2_6.mp3] [ɑʊ̯] EOF [sound:ao2_7.wav] [ɑʊ̯]
ao3;[ɑʊ̯];;[sound:ao3_1.mp3] [ɑʊ̯] EOF [sound:ao3_2.mp3] [ɑʊ̯] EOF [sound:ao3_3.mp3] [ɑʊ̯] EOF [sound:ao3_4.mp3] [ɑʊ̯] EOF [sound:ao3_5.mp3] [ɑʊ̯] EOF [sound:ao3_6.mp3] [ɑʊ̯] EOF [sound:ao3_7.wav] [ɑʊ̯]
ao4;[ɑʊ̯];;[sound:ao4_1.mp3] [ɑʊ̯] EOF [sound:ao4_2.mp3] [ɑʊ̯] EOF [sound:ao4_3.mp3] [ɑʊ̯] EOF [sound:ao4_4.mp3] [ɑʊ̯] EOF [sound:ao4_5.mp3] [ɑʊ̯] EOF [sound:ao4_6.mp3] [ɑʊ̯]
an1;[an];;[sound:an1_1.mp3] [an] EOF [sound:an1_2.mp3] [an] EOF [sound:an1_3.mp3] [an] EOF [sound:an1_4.mp3] [an] EOF [sound:an1_5.mp3] [an] EOF [sound:an1_6.mp3] [an] EOF [sound:an1_7.wav] [an]
an4;[an];;[sound:an4_1.mp3] [an] EOF [sound:an4_2.mp3] [an] EOF [sound:an4_3.mp3] [an] EOF [sound:an4_4.mp3] [an] EOF [sound:an4_5.mp3] [an] EOF [sound:an4_6.mp3] [an] EOF [sound:an4_7.wav] [an]
