a;-a</br>[ɑ];<img src="IPA_vowel_chart_2005.png" />;[sound:a1_1.mp3] EOF [sound:a1_2.mp3] EOF [sound:a1_3.mp3] EOF [sound:a1_4.mp3] EOF [sound:a1_5.mp3] EOF [sound:a1_6.mp3] EOF [sound:a1_7.wav] EOF [sound:a.mp3]
ai;-ai</br>[aɪ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:ai1_1.mp3] EOF [sound:ai1_2.mp3] EOF [sound:ai1_3.mp3] EOF [sound:ai1_4.mp3] EOF [sound:ai1_5.mp3] EOF [sound:ai1_6.mp3] EOF [sound:ai1_7.wav] EOF [sound:ai.mp3]
ao;-ao</br>[ɑʊ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:ao1_1.mp3] EOF [sound:ao1_2.mp3] EOF [sound:ao1_3.mp3] EOF [sound:ao1_4.mp3] EOF [sound:ao1_5.mp3] EOF [sound:ao1_6.mp3] EOF [sound:ao1_7.wav] EOF [sound:ao.mp3]
an;-an</br>[an];<img src="IPA_vowel_chart_2005.png" />;[sound:an1_1.mp3] EOF [sound:an1_2.mp3] EOF [sound:an1_3.mp3] EOF [sound:an1_4.mp3] EOF [sound:an1_5.mp3] EOF [sound:an1_6.mp3] EOF [sound:an1_7.wav] EOF [sound:an.mp3]
ang;-ang</br>[ɑŋ];<img src="IPA_vowel_chart_2005.png" />;[sound:ang1_1.mp3] EOF [sound:ang1_2.mp3] EOF [sound:ang1_3.mp3] EOF [sound:ang1_4.mp3] EOF [sound:ang1_5.mp3] EOF [sound:ang1_6.mp3] EOF [sound:ang1_7.wav] EOF [sound:ang.mp3]
e;-e</br>[ɯ̯ʌ];<img src="IPA_vowel_chart_2005.png" />;[sound:e1_1.mp3] EOF [sound:e1_2.mp3] EOF [sound:e1_3.mp3] EOF [sound:e1_4.mp3] EOF [sound:e1_5.mp3] EOF [sound:e1_6.mp3] EOF [sound:e1_7.wav] EOF [sound:e.mp3]
ei;-ei</br>[eɪ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:ei1_1.mp3] EOF [sound:ei1_3.mp3] EOF [sound:ei1_4.mp3] EOF [sound:ei1_5.mp3] EOF [sound:ei1_7.wav] EOF [sound:ei.mp3]
en;-en</br>[ən];<img src="IPA_vowel_chart_2005.png" />;[sound:en1_1.mp3] EOF [sound:en1_2.mp3] EOF [sound:en1_3.mp3] EOF [sound:en1_4.mp3] EOF [sound:en1_5.mp3] EOF [sound:en1_6.mp3] EOF [sound:en1_7.wav] EOF [sound:en.mp3]
eng;-eng</br>[əŋ];<img src="IPA_vowel_chart_2005.png" />;[sound:eng1_1.mp3] EOF [sound:eng1_2.mp3] EOF [sound:eng1_3.mp3] EOF [sound:eng1_4.mp3] EOF [sound:eng1_5.mp3] EOF [sound:eng.mp3]
er;-er</br>[ɑɻ];<img src="IPA_vowel_chart_2005.png" />;[sound:er1_1.mp3] EOF [sound:er1_2.mp3] EOF [sound:er1_3.mp3] EOF [sound:er1_4.mp3] EOF [sound:er1_5.mp3] EOF [sound:er1_7.wav] EOF [sound:er.mp3]
o;-o</br>[ɔ];<img src="IPA_vowel_chart_2005.png" />;[sound:o1_1.mp3] EOF [sound:o1_2.mp3] EOF [sound:o1_3.mp3] EOF [sound:o1_4.mp3] EOF [sound:o1_5.mp3] EOF [sound:o1_6.mp3] EOF [sound:o.mp3]
ou;-ou</br>[ɤʊ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:ou1_1.mp3] EOF [sound:ou1_2.mp3] EOF [sound:ou1_3.mp3] EOF [sound:ou1_4.mp3] EOF [sound:ou1_5.mp3] EOF [sound:ou1_6.mp3] EOF [sound:ou.mp3]
